commit,wasted
731c94e91d310eadb58ec5ff3338b430f10fdefb,6
40f63eb034ee5669dba87deb5f8f37c10bf5df0c,89
582969288592063ea4071080e8ff7b9108cf4a8b,13
a3494d405d4c54b672711dfbee0c7d5d688e96d8,63
ef82ff8564ccbd2304f0d75640c820f3e5bb9cb6,1
dbae7795ba489bfc1fedb88155bf42bb4992b006,165
dbfab49d2a1380fa598f43de8e02c9e0eb467e17,5
9eae80f11157c81169e2b396017a6b85967e6ad5,44
95d8dbce91f49467050250d5cf3671aaaa648d76,7
c0b392a16028fc821929fb2f295dcc2a5169512d,210
3e504938c20a1b46801a99e21d2f487bf92d9200,2
a3fb29938cd61174785722054cc9331360ccccfe,73
aeb773fa47e354396b200c65e51f92af9f340b46,2
60db25bded4d7428330e2d06cadeb2422f4d9b02,6
8b59fb72c45a64b6b49d79080eaff0f675197086,21
8e790b7f7ae8a1454b0312092cf32f072d587f9c,2
d8c8256e52844f773c89d5dbb1297bf209d0865b,3
e028079b0fee3471ce0847d452ba8f9c4dbc031d,16
fc5af50a2f0d7ff6cfe7f3b72e9f636780a89655,3997
413b0c1526a0a468a851e152f5ea63f11496246d,7
2d19d0381bd29e82f59a6ee2e6db24cf43d9f369,46
a8dad98c55215f20a783535a9149f3eaeb57a5d1,10
57ac9073ae5b56415ea3747b3fc4e89e9f5eb8f4,1218
499a0d8383d5df2548488f9d56f78dc0fb027f68,9
564d902d793a3a373a36b006eb5bc5a91cc252dc,6
0711fab137b92794d3c1e9a0308573af312fbd85,247
9afd0e2375b06ce0aeb3ff256937aee0956d9393,14
b0403d3f2bf53755b654be61cf8dcce2f9939ce6,1
438a2136956b816562662ebbe3c96cac9a940039,74
637b67da565cac4bda4c4e9bf4d3cfabb53ce46f,8
c649073b5f8211070e6b043a9a03d18b7485caa4,3
a3da468d8b99565a966745e09830eaa768a9c267,2
21c8a54c08354f8934fd8ec58b43879c1686ccad,10
f8e239e058953e8db88e784439cfd9eca446e606,8
547fc4a4120a2bb3a6aeca66dd0cd568534ba65a,180
91a563608e301bb243fca3765d569bde65ad747c,3
b25918d8412eb314587e03b727dd1d6c99947669,2
d1820fef574e8f559d8fba3995e21216033be303,9
777c181d2f583570956724f9cbe20eb1dc7048f1,77
6be6b71c8cf9f8033e0a5cc8e00fbb2ed4ab778c,12
a1307ef97811f661da4283b02958abb6c27433be,14
acc7638f7c8fc9e1c355332f8db91ba508e85a5c,20
9cd8786e4a6aebe29dabe802cc177e4338e140e6,6
3b0cd173430188254e068bd72890e86b864792cd,1
90577ada691f43be875c9d2ff4aaef962727f34d,19
1deee67615a1cfcf7d1b53241d1508b97e20f1d5,208
c4b187d1db2069abefc54cda011b0d96f60be6a6,6
f3491cb89bcbd8748bedbd2fe6a200ba09d9e3c2,28
26860639c5fee7fc23db1e686f8eb202921e4314,8
5a864e3fce234d19e1b371d9bab40554293546bb,140
e93805f2b115dab07145af3126fa88d2989f2c48,502
a8e13f6a0bbcc31c48cec6b752b8422c2163f518,15
65caa8f711d8e8b7cf77255d0ca42163f07f426e,1
7e0191c6eabe7258f28a8b723702c3a089d1f4b3,7
